,bike_station_index,distance,restaurants,parks
31,23,347,1,0
32,23,360,1,0
33,23,264,1,0
34,23,281,1,0
35,23,287,1,0
36,23,293,1,0
37,23,306,1,0
38,23,309,1,0
39,23,309,1,0
40,23,314,1,0
41,23,423,1,0
42,23,332,1,0
43,23,343,1,0
44,23,347,1,0
45,23,382,1,0
46,23,388,0,1
47,23,423,1,0
48,23,429,1,0
49,23,430,0,1
0,24,240,1,0
1,24,333,1,0
2,24,477,1,0
3,24,478,1,0
4,24,458,1,0
5,24,515,1,0
6,24,418,1,0
7,24,489,1,0
8,24,387,1,0
9,24,480,1,0
10,24,495,1,0
11,24,410,1,0
12,24,355,1,0
13,24,492,1,0
14,24,317,1,0
15,24,459,1,0
16,24,334,1,0
17,24,441,1,0
18,24,209,1,0
19,24,290,1,0
20,24,418,1,0
21,24,544,1,0
22,24,439,1,0
23,24,323,1,0
24,24,212,1,0
25,24,222,1,0
26,24,245,0,1
27,24,379,1,0
28,24,340,1,0
29,24,364,1,0
30,24,387,1,0
31,24,351,1,0
32,24,399,0,1
33,24,429,1,0
34,24,432,1,0
35,24,436,1,0
36,24,441,1,0
37,24,451,1,0
38,24,459,1,0
39,24,461,1,0
40,24,464,1,0
41,24,464,1,0
42,24,466,1,0
43,24,469,1,0
44,24,472,0,1
45,24,484,1,0
46,24,486,1,0
47,24,513,1,0
48,24,429,1,0
49,24,5663,1,0
0,25,270,1,0
1,25,219,0,1
2,25,277,1,0
3,25,294,1,0
4,25,485,1,0
5,25,437,1,0
6,25,280,1,0
7,25,315,1,0
8,25,353,1,0
9,25,440,1,0
10,25,290,1,0
11,25,285,1,0
12,25,330,1,0
13,25,360,1,0
14,25,358,1,0
15,25,378,1,0
16,25,285,1,0
17,25,363,1,0
18,25,309,1,0
19,25,411,1,0
20,25,409,1,0
21,25,259,1,0
22,25,333,1,0
23,25,367,1,0
24,25,278,1,0
25,25,457,1,0
26,25,369,1,0
27,25,440,1,0
28,25,307,1,0
29,25,406,1,0
30,25,44,0,1
31,25,79,1,0
32,25,486,1,0
33,25,355,1,0
34,25,255,1,0
35,25,257,1,0
36,25,267,1,0
37,25,271,1,0
38,25,273,1,0
39,25,391,1,0
40,25,279,1,0
41,25,285,1,0
42,25,287,1,0
43,25,287,1,0
44,25,287,1,0
45,25,289,1,0
46,25,291,1,0
47,25,291,1,0
48,25,314,1,0
49,25,317,1,0
0,26,51,1,0
1,26,144,1,0
2,26,131,1,0
3,26,315,1,0
4,26,224,1,0
5,26,192,1,0
6,26,215,1,0
7,26,393,1,0
8,26,344,1,0
9,26,275,1,0
10,26,423,1,0
11,26,86,1,0
12,26,251,0,1
13,26,255,1,0
14,26,421,1,0
15,26,184,1,0
16,26,408,1,0
17,26,475,1,0
18,26,459,1,0
19,26,127,1,0
20,26,232,1,0
21,26,104,1,0
22,26,372,1,0
23,26,89,1,0
24,26,135,1,0
25,26,45,1,0
26,26,456,1,0
27,26,245,1,0
28,26,460,1,0
29,26,245,1,0
30,26,403,1,0
31,26,321,1,0
32,26,187,1,0
33,26,282,1,0
34,26,406,1,0
35,26,41,1,0
36,26,213,1,0
37,26,162,1,0
38,26,175,0,1
39,26,177,1,0
40,26,183,1,0
41,26,301,1,0
42,26,319,1,0
43,26,374,1,0
44,26,377,1,0
45,26,407,1,0
46,26,407,1,0
47,26,439,1,0
48,26,439,0,1
49,26,443,0,1
0,27,394,1,0
1,27,336,1,0
2,27,366,1,0
3,27,208,1,0
4,27,288,1,0
5,27,112,0,1
6,27,146,1,0
7,27,421,1,0
8,27,181,1,0
9,27,209,1,0
10,27,226,1,0
11,27,302,0,1
12,27,323,1,0
13,27,339,1,0
14,27,371,1,0
15,27,390,1,0
16,27,395,1,0
17,27,396,0,1
18,27,397,1,0
19,27,397,1,0
20,27,414,1,0
21,27,414,1,0
22,27,449,1,0
23,27,484,1,0
24,27,484,1,0
25,27,493,1,0
26,27,499,1,0
27,27,184,1,0
28,27,366,1,0
29,27,450,1,0
0,28,65,1,0
1,28,262,1,0
2,28,110,1,0
3,28,317,1,0
4,28,415,1,0
5,28,452,1,0
6,28,296,1,0
7,28,399,1,0
8,28,115,1,0
9,28,352,1,0
10,28,319,1,0
11,28,372,1,0
12,28,158,1,0
13,28,244,1,0
14,28,285,1,0
15,28,109,1,0
16,28,109,1,0
17,28,118,1,0
18,28,123,1,0
19,28,150,1,0
20,28,193,1,0
21,28,224,1,0
22,28,244,1,0
23,28,247,1,0
24,28,248,1,0
25,28,479,1,0
26,28,264,1,0
27,28,440,1,0
28,28,285,1,0
29,28,395,1,0
30,28,344,1,0
31,28,411,1,0
32,28,440,1,0
33,28,453,1,0
34,28,468,1,0
35,28,475,1,0
36,28,480,0,1
37,28,489,1,0
38,28,337,1,0
39,28,114,1,0
40,28,198,1,0
41,28,279,1,0
0,29,40,1,0
1,29,222,1,0
2,29,83,1,0
3,29,337,1,0
4,29,123,1,0
5,29,332,1,0
6,29,169,1,0
7,29,368,0,1
8,29,450,1,0
9,29,433,0,1
10,29,323,1,0
11,29,252,1,0
12,29,386,1,0
13,29,440,1,0
14,29,476,1,0
15,29,432,1,0
16,29,404,1,0
17,29,455,1,0
18,29,386,1,0
19,29,482,1,0
20,29,3470,1,0
21,29,67,1,0
22,29,21,0,1
23,29,32,1,0
24,29,263,1,0
25,29,73,1,0
26,29,82,1,0
27,29,93,1,0
28,29,370,1,0
29,29,101,1,0
30,29,473,1,0
31,29,190,1,0
32,29,196,1,0
33,29,340,1,0
34,29,228,0,1
35,29,274,1,0
36,29,314,1,0
37,29,321,0,1
38,29,327,1,0
39,29,336,0,1
40,29,347,1,0
41,29,348,1,0
42,29,352,1,0
43,29,363,1,0
44,29,367,1,0
45,29,367,1,0
46,29,379,1,0
47,29,385,0,1
48,29,401,1,0
49,29,404,1,0
0,30,339,1,0
1,30,243,1,0
2,30,376,1,0
3,30,254,1,0
4,30,385,1,0
5,30,236,1,0
6,30,249,1,0
7,30,316,1,0
8,30,320,1,0
9,30,329,1,0
10,30,340,0,1
11,30,342,1,0
12,30,343,1,0
13,30,343,1,0
14,30,398,0,1
15,30,429,0,1
16,30,452,1,0
17,30,452,1,0
18,30,440,1,0
19,30,476,1,0
20,30,490,1,0
21,30,499,0,1
22,30,326,1,0
23,30,433,1,0
0,31,103,1,0
1,31,186,1,0
2,31,136,1,0
3,31,193,1,0
4,31,203,1,0
5,31,173,1,0
6,31,278,1,0
7,31,241,1,0
8,31,232,1,0
9,31,257,1,0
10,31,265,1,0
11,31,300,1,0
12,31,231,1,0
13,31,208,1,0
14,31,296,1,0
15,31,202,1,0
16,31,423,1,0
17,31,320,1,0
18,31,265,1,0
19,31,417,1,0
20,31,332,1,0
21,31,480,1,0
22,31,340,1,0
23,31,248,1,0
24,31,327,0,1
25,31,384,1,0
26,31,205,1,0
27,31,330,1,0
28,31,350,1,0
29,31,338,1,0
30,31,407,1,0
31,31,134,1,0
32,31,222,1,0
33,31,364,1,0
34,31,442,1,0
35,31,395,1,0
36,31,457,1,0
37,31,438,1,0
38,31,310,1,0
39,31,411,1,0
40,31,351,1,0
41,31,274,1,0
42,31,363,1,0
43,31,394,1,0
44,31,488,1,0
45,31,210,1,0
46,31,457,1,0
47,31,347,1,0
48,31,430,1,0
49,31,236,1,0
0,32,259,0,1
1,32,24,1,0
2,32,72,1,0
3,32,70,1,0
4,32,186,1,0
5,32,148,1,0
6,32,34,1,0
7,32,110,1,0
8,32,137,0,1
9,32,182,1,0
10,32,190,1,0
11,32,259,0,1
12,32,291,1,0
13,32,340,1,0
14,32,360,1,0
15,32,367,1,0
16,32,463,1,0
17,32,473,0,1
18,32,497,1,0
0,33,41,1,0
1,33,69,1,0
